cluster_id,size,top_tags,sample_names,avg_name_length
65,22,"['paraswap', 'dex', 'volume', 'defi', 'trading']","['paraswap daily volume', 'paraswap monthly volume', 'paraswap total users']",22.59090909090909
66,15,[],"['gas wasted on out-of-gas', 'pudgypenguins 30-day lookback daily total spending (eth)', 'uni trading volume over time']",31.2
67,18,"['dydx', 'defi']","['dydx withdraws', 'dydx deposits', 'dydx buys']",24.22222222222222
68,73,"['uniswap', 'compound', 'livepeer', 'fees', 'dex']","['uniswap dai/eth liquidity', 'uniswap mkr/eth liquidity', 'wip - uniswap returns (dai/eth)']",33.78082191780822
69,43,[],"['mirror cumulative contributions by product (eth) - wave', 'os gmv', 'fork of (#4962) btc on ethereum']",36.72093023255814
70,22,[],"['how much eth have i spent on tx fees', 'account transaction costs', 'top bot tx fees']",23.5
71,67,"['defi', 'eth2dai', 'exchange']","['count of tx for recent 50 blocks', 'a8015df1f65e1f53d491dc1ed35013031ad25034 gasprice=0 transactions for the past year', 'defisummit - eth price on eth2dai vs. centralized exchanges']",27.955223880597014
72,22,"['defi', 'dex', 'metamask', 'uniswap', 'dextf']","['daily dex.ag trades', 'weekly dex.ag trades', 'dexe holders']",22.5
73,28,"['0x', 'defi', 'dex']","['0x taker usd volume', 'copy of (#435) weekly dex usd volume', 'weekly dex usd volume (mats :)']",31.5
74,51,[],"['copy of (#65) idealcoin balances', 'pooltogether [winnings, deposits]', 'pool together [distinct users]']",33.35294117647059
75,23,"['addy', 'lock', 'withdraw', 'adamant']","['loopring block types', 'loopring trade block sizes', 'loopring transactions processed per day']",28.82608695652174
76,48,"['dex', 'volume', 'defi', '0x', 'idex']","['dex volume per day trailing 7 days', 'dexs by volume last 7 days v1', 'v2 wip - dexs by volume last 7 days']",30.3125
77,33,[],"['fork of (#9931) cumulative uni token claimed', 'fork of (#9912) total uni token claims', 'fork of (#9902) uni token claimed per hour']",34.72727272727273
78,40,"['dutchx', 'gnosis', 'dxdao', 'dao', 'pooltogether']","['draft - compare slippage', 'most popular ethlend contracts', 'unique overall dxdao participants']",26.025
